"Date","Price","Open","High","Low","Change %"
"Mar 30, 2017","0.880","0.910","0.910","0.879","0.00%"
"Mar 29, 2017","0.880","0.910","0.910","0.879","-3.30%"
"Mar 28, 2017","0.910","0.910","0.910","0.879","3.41%"
"Mar 27, 2017","0.880","0.910","0.910","0.882","0.00%"
"Mar 26, 2017","0.880","0.880","0.880","0.880","0.00%"
"Mar 24, 2017","0.880","0.912","0.912","0.880","-2.22%"
"Mar 23, 2017","0.900","0.901","0.901","0.901","0.00%"
"Mar 22, 2017","0.900","0.840","0.901","0.840","0.00%"
"Mar 21, 2017","0.900","0.840","0.901","0.840","9.76%"
"Mar 20, 2017","0.820","0.868","0.868","0.818","-0.24%"
"Mar 19, 2017","0.822","0.822","0.822","0.822","0.00%"
"Mar 18, 2017","0.822","0.822","0.822","0.822","0.24%"
"Mar 17, 2017","0.820","0.849","0.849","0.822","0.00%"
"Mar 16, 2017","0.820","0.840","0.840","0.818","0.00%"
"Mar 15, 2017","0.820","0.879","0.879","0.818","0.00%"
"Mar 14, 2017","0.820","0.879","0.879","0.818","5.13%"
"Mar 13, 2017","0.780","0.800","0.800","0.781","-0.13%"
"Mar 12, 2017","0.781","0.781","0.781","0.781","0.13%"
"Mar 10, 2017","0.780","0.808","0.808","0.781","-2.50%"
"Mar 09, 2017","0.800","0.801","0.801","0.801","2.56%"
"Mar 08, 2017","0.780","0.801","0.801","0.779","0.00%"
"Mar 07, 2017","0.780","0.779","0.779","0.779","-3.70%"
"Mar 06, 2017","0.810","0.809","0.809","0.809","3.71%"
"Mar 05, 2017","0.781","0.781","0.781","0.781","0.13%"
"Mar 03, 2017","0.780","0.808","0.808","0.781","-3.70%"
"Mar 02, 2017","0.810","0.810","0.810","0.810","2.53%"
"Mar 01, 2017","0.790","0.788","0.788","0.788","1.28%"
"Feb 28, 2017","0.780","0.788","0.788","0.779","0.00%"
"Feb 27, 2017","0.780","0.800","0.800","0.781","-0.13%"
"Feb 26, 2017","0.781","0.781","0.781","0.781","0.13%"
"Feb 24, 2017","0.780","0.790","0.790","0.781","0.00%"
"Feb 23, 2017","0.780","0.810","0.810","0.779","-1.27%"
"Feb 22, 2017","0.790","0.810","0.810","0.788","-2.47%"
"Feb 21, 2017","0.810","0.788","0.810","0.788","6.58%"
"Feb 20, 2017","0.760","0.781","0.781","0.759","0.26%"
"Feb 19, 2017","0.758","0.758","0.758","0.758","-0.26%"
"Feb 17, 2017","0.760","0.781","0.781","0.758","0.00%"
"Feb 16, 2017","0.760","0.771","0.771","0.762","0.00%"
"Feb 15, 2017","0.760","0.779","0.779","0.762","0.00%"
"Feb 14, 2017","0.760","0.788","0.788","0.762","0.00%"
"Feb 13, 2017","0.760","0.832","0.832","0.759","0.26%"
"Feb 12, 2017","0.758","0.758","0.758","0.758","-0.26%"
"Feb 10, 2017","0.760","0.831","0.831","0.758","-5.00%"
"Feb 09, 2017","0.800","0.801","0.801","0.801","5.26%"
"Feb 08, 2017","0.760","0.801","0.801","0.762","0.00%"
"Feb 07, 2017","0.760","0.801","0.801","0.762","0.00%"
"Feb 06, 2017","0.760","0.800","0.800","0.759","0.26%"
"Feb 05, 2017","0.758","0.758","0.758","0.758","-0.26%"
"Feb 03, 2017","0.760","0.808","0.808","0.758","0.00%"
"Feb 02, 2017","0.760","0.810","0.810","0.762","0.00%"
"Feb 01, 2017","0.760","0.818","0.818","0.762","-10.59%"
"Jan 31, 2017","0.850","0.870","0.870","0.852","-2.07%"
"Jan 30, 2017","0.868","0.868","0.868","0.868","-0.23%"
"Jan 27, 2017","0.870","0.868","0.868","0.868","0.00%"
"Jan 26, 2017","0.870","0.849","0.871","0.849","2.35%"
"Jan 25, 2017","0.850","0.840","0.849","0.840","0.00%"
"Jan 24, 2017","0.850","0.840","0.849","0.840","0.00%"
"Jan 23, 2017","0.850","0.841","0.850","0.841","0.12%"
"Jan 22, 2017","0.849","0.849","0.849","0.849","-0.12%"
"Jan 20, 2017","0.850","0.849","0.849","0.849","0.00%"
"Jan 19, 2017","0.850","0.849","0.849","0.849","0.00%"
"Jan 18, 2017","0.850","0.849","0.849","0.849","0.00%"
"Jan 17, 2017","0.850","0.849","0.849","0.849","0.00%"
"Jan 16, 2017","0.850","0.891","0.891","0.850","0.12%"
"Jan 15, 2017","0.849","0.849","0.849","0.849","-0.12%"
"Jan 13, 2017","0.850","0.890","0.890","0.849","0.00%"
"Jan 12, 2017","0.850","0.910","0.910","0.849","-3.41%"
"Jan 11, 2017","0.880","0.901","0.901","0.879","0.00%"
"Jan 10, 2017","0.880","0.932","0.932","0.879","-7.37%"
"Jan 09, 2017","0.950","0.942","0.951","0.942","0.21%"
"Jan 08, 2017","0.948","0.948","0.948","0.948","-0.21%"
"Jan 06, 2017","0.950","0.948","0.948","0.948","0.00%"
"Jan 05, 2017","0.950","0.949","0.949","0.949","0.00%"
"Jan 04, 2017","0.950","1.002","1.002","1.002","-5.00%"
"Jan 03, 2017","1.000","1.042","1.042","1.042","-0.10%"
"Jan 02, 2017","1.001","1.001","1.001","1.001","0.10%"
"Dec 30, 2016","1.000","1.052","1.052","1.001","0.00%"
"Dec 29, 2016","1.000","1.050","1.050","1.002","0.00%"
"Dec 28, 2016","1.000","1.050","1.050","1.002","-5.66%"
"Dec 27, 2016","1.060","1.061","1.061","1.061","-0.93%"
"Dec 26, 2016","1.070","1.070","1.070","1.070","0.00%"
"Dec 23, 2016","1.070","1.070","1.070","1.070","0.00%"
"Dec 22, 2016","1.070","1.080","1.080","1.072","-0.93%"
"Dec 21, 2016","1.080","1.080","1.080","1.080","5.06%"
"Dec 20, 2016","1.028","1.028","1.028","1.028","14.22%"
"Dec 19, 2016","0.900","1.030","1.030","1.030","-12.62%"
"Dec 18, 2016","1.030","1.030","1.030","1.030","0.00%"
"Dec 16, 2016","1.030","1.030","1.030","1.030","0.00%"
"Dec 15, 2016","1.030","1.028","1.028","1.028","1.98%"
"Dec 14, 2016","1.010","1.010","1.010","1.010","12.22%"
"Dec 13, 2016","0.900","0.989","0.989","0.901","8.43%"
"Dec 12, 2016","0.830","0.832","0.850","0.832","-2.24%"
"Dec 11, 2016","0.849","0.849","0.849","0.849","-0.12%"
"Dec 09, 2016","0.850","0.831","0.849","0.831","2.41%"
"Dec 08, 2016","0.830","0.831","0.831","0.831","-1.19%"
"Dec 07, 2016","0.840","0.840","0.840","0.840","0.00%"
"Dec 06, 2016","0.840","0.840","0.840","0.840","7.69%"
"Dec 05, 2016","0.780","0.841","0.841","0.781","-0.13%"
"Dec 04, 2016","0.781","0.781","0.781","0.781","0.13%"
"Dec 02, 2016","0.780","0.840","0.840","0.781","0.00%"
"Dec 01, 2016","0.780","0.840","0.840","0.779","-7.14%"
"Nov 30, 2016","0.840","0.779","0.840","0.779","-1.18%"
"Nov 29, 2016","0.850","0.849","0.849","0.849","8.97%"
"Nov 28, 2016","0.780","0.841","0.841","0.781","-0.13%"
"Nov 27, 2016","0.781","0.781","0.781","0.781","0.13%"
"Nov 25, 2016","0.780","0.858","0.858","0.781","-4.88%"
"Nov 24, 2016","0.820","0.779","0.818","0.779","0.00%"
"Nov 23, 2016","0.820","0.818","0.818","0.818","5.13%"
"Nov 22, 2016","0.780","0.818","0.818","0.779","0.00%"
"Nov 21, 2016","0.780","0.818","0.818","0.781","-8.13%"
"Nov 20, 2016","0.849","0.849","0.849","0.849","-0.12%"
"Nov 18, 2016","0.850","0.849","0.849","0.849","0.00%"
"Nov 17, 2016","0.850","0.849","0.849","0.849","0.00%"
"Nov 16, 2016","0.850","0.849","0.849","0.849","13.33%"
"Nov 15, 2016","0.750","0.849","0.849","0.749","2.74%"
"Nov 14, 2016","0.730","0.727","0.781","0.727","-3.69%"
"Nov 13, 2016","0.758","0.758","0.758","0.758","-0.26%"
"Nov 11, 2016","0.760","0.758","0.758","0.758","0.00%"
"Nov 10, 2016","0.760","0.740","0.762","0.740","2.70%"
"Nov 09, 2016","0.740","0.740","0.740","0.740","0.00%"
"Nov 08, 2016","0.740","0.740","0.740","0.740","-1.33%"
"Nov 07, 2016","0.750","0.749","0.749","0.749","0.13%"
"Nov 06, 2016","0.749","0.749","0.749","0.749","-0.13%"
"Nov 04, 2016","0.750","0.749","0.749","0.749","0.00%"
"Nov 03, 2016","0.750","0.749","0.749","0.749","0.00%"
"Nov 02, 2016","0.750","0.749","0.749","0.749","0.00%"
"Nov 01, 2016","0.750","0.749","0.749","0.749","-5.06%"
"Oct 31, 2016","0.790","0.791","0.791","0.791","0.00%"
"Oct 30, 2016","0.790","0.790","0.790","0.790","0.00%"
"Oct 28, 2016","0.790","0.790","0.790","0.790","0.00%"
"Oct 27, 2016","0.790","0.788","0.788","0.788","0.00%"
"Oct 26, 2016","0.790","0.788","0.788","0.788","0.00%"
"Oct 25, 2016","0.790","0.788","0.788","0.788","-3.66%"
"Oct 24, 2016","0.820","0.818","0.818","0.818","-0.24%"
"Oct 23, 2016","0.822","0.822","0.822","0.822","0.24%"
"Oct 21, 2016","0.820","0.822","0.822","0.822","0.00%"
"Oct 20, 2016","0.820","0.818","0.818","0.818","0.00%"
"Oct 19, 2016","0.820","0.818","0.818","0.818","1.23%"
"Oct 18, 2016","0.810","0.810","0.810","0.810","0.00%"
"Oct 17, 2016","0.810","0.809","0.809","0.809","1.38%"
"Oct 16, 2016","0.799","0.799","0.799","0.799","0.00%"
"Oct 15, 2016","0.799","0.799","0.799","0.799","-0.12%"
"Oct 14, 2016","0.800","0.799","0.799","0.799","0.00%"
"Oct 13, 2016","0.800","0.801","0.801","0.801","0.00%"
"Oct 12, 2016","0.800","0.801","0.801","0.801","0.00%"
"Oct 11, 2016","0.800","0.801","0.801","0.801","3.90%"
"Oct 10, 2016","0.770","0.768","0.768","0.768","1.58%"
"Oct 09, 2016","0.758","0.758","0.758","0.758","-0.26%"
"Oct 07, 2016","0.760","0.758","0.758","0.758","0.00%"
"Oct 06, 2016","0.760","0.762","0.762","0.762","1.33%"
"Oct 05, 2016","0.750","0.749","0.749","0.749","0.00%"
"Oct 04, 2016","0.750","0.749","0.749","0.749","7.14%"
"Oct 03, 2016","0.700","0.699","0.699","0.699","0.00%"
"Oct 02, 2016","0.700","0.700","0.700","0.700","0.00%"
"Sep 30, 2016","0.700","0.700","0.700","0.700","-6.67%"
"Sep 29, 2016","0.750","0.701","0.749","0.701","7.14%"
"Sep 28, 2016","0.700","0.701","0.701","0.701","4.48%"
"Sep 27, 2016","0.670","0.670","0.670","0.670","3.08%"
"Sep 26, 2016","0.650","0.649","0.649","0.649","0.00%"
"Sep 25, 2016","0.650","0.650","0.650","0.650","0.00%"
"Sep 24, 2016","0.650","0.650","0.650","0.650","0.00%"
"Sep 23, 2016","0.650","0.650","0.650","0.650","0.00%"
